Book-Title,Book-Rating,ISBN,Publisher,Image,Genre
Der dritte Zwilling.,4,3404129423,LÃ?Â¼bbe,http://images.amazon.com/images/P/3404129423.01.MZZZZZZZ.jpg,Sci-Fi
Winning With the American Quarter Horse (Doubleday Equestrian Library),3,038546813X,Bantam Dell Pub Group,http://images.amazon.com/images/P/038546813X.01.MZZZZZZZ.jpg,fantasy
"Honeymoon Baby (Do Not Disturb) (Harlequin Presents , No 1985)",3,373119852,Harlequin,http://images.amazon.com/images/P/0373119852.01.MZZZZZZZ.jpg,Sci-Fi
Breathing Lessons,1,042511774X,Berkley Publishing Group,http://images.amazon.com/images/P/042511774X.01.MZZZZZZZ.jpg,fantasy
"Les Dames du faubourg, tome 2 : Le Lit d'acajou",1,2070381498,Gallimard,http://images.amazon.com/images/P/2070381498.01.MZZZZZZZ.jpg,Sci-Fi
Personal Best: The Foremost Philosopher of Fitness Shares Techniques and Tactics for Success and Self-Liberation,4,878579958,Rodale Press,http://images.amazon.com/images/P/0878579958.01.MZZZZZZZ.jpg,fantasy
The Winning Family : Increasing Self-Esteem in Your Children and Yourself,0,096228341X,Lifeskills Press,http://images.amazon.com/images/P/096228341X.01.MZZZZZZZ.jpg,fiction
Peace: 100 Ideas,2,974658200,"CDA Press, San Francisco",http://images.amazon.com/images/P/0974658200.01.MZZZZZZZ.jpg,Novel
"Cry of the Wolf (Avalon, 3)",3,439221684,Scholastic,http://images.amazon.com/images/P/0439221684.01.MZZZZZZZ.jpg,self-help
Des souris et des hommes,2,2070360377,Gallimard,http://images.amazon.com/images/P/2070360377.01.MZZZZZZZ.jpg,Sci-Fi
Dr. Seuss's A B C (I Can Read It All by Myself Beginner Books),3,394800303,Random House Books for Young Readers,http://images.amazon.com/images/P/0394800303.01.MZZZZZZZ.jpg,fantasy
Anne Frank's Tales from the Secret Annex,2,055356983X,Bantam Books,http://images.amazon.com/images/P/055356983X.01.MZZZZZZZ.jpg,self-help
Rabbit-Proof Fence : The True Story of One of the Greatest Escapes of  All Time,2,786887842,Miramax,http://images.amazon.com/images/P/0786887842.01.MZZZZZZZ.jpg,Mystery
"The Organized Executive: A Program for Productivity : New Ways to Manage Time, Paper, and People",5,446977551,Warner Books (Mm),http://images.amazon.com/images/P/0446977551.01.MZZZZZZZ.jpg,fantasy
Running Girl: The Diary of Ebonee Rose,4,152006745,Harcourt,http://images.amazon.com/images/P/0152006745.01.MZZZZZZZ.jpg,Novel
If Loving You is Wrong,5,312970129,St. Martin's True Crime,http://images.amazon.com/images/P/0312970129.01.MZZZZZZZ.jpg,self-help
The Last Precinct,2,425180638,Berkley Publishing Group,http://images.amazon.com/images/P/0425180638.01.MZZZZZZZ.jpg,Mystery
Life of Pi,0,156027321,Harvest Books,http://images.amazon.com/images/P/0156027321.01.MZZZZZZZ.jpg,Mystery
"Total Relaxation: Healing Practices for Body, Mind &amp; Spirit",1,1568362242,Kodansha America,http://images.amazon.com/images/P/1568362242.01.MZZZZZZZ.jpg,Novel
Final Fantasy X Official Strategy Guide,5,744001404,Brady Games,http://images.amazon.com/images/P/0744001404.01.MZZZZZZZ.jpg,Mystery
"The Lake of Tears (Deltora Quest, 2)",2,439253241,Scholastic,http://images.amazon.com/images/P/0439253241.01.MZZZZZZZ.jpg,Novel
The Straw Men,4,515134279,Jove Books,http://images.amazon.com/images/P/0515134279.01.MZZZZZZZ.jpg,fiction
Rosas RÃ?Â¼ckkehr.,3,3352005826,RÃ?Â¼tten &amp, Loening,Novel
Red Rabbit,2,399148701,Putnam Publishing Group,http://images.amazon.com/images/P/0399148701.01.MZZZZZZZ.jpg,self-help
El Ultimo Caton,2,8401328942,"Plaza &amp; Janes Editores, S.A.",http://images.amazon.com/images/P/8401328942.01.MZZZZZZZ.jpg,Mystery
The Left Behind Deception,4,1883012902,Remnant Publications,http://images.amazon.com/images/P/1883012902.01.MZZZZZZZ.jpg,Sci-Fi
Love Me With Fury,2,380764504,Avon Books,http://images.amazon.com/images/P/0380764504.01.MZZZZZZZ.jpg,fiction
The One That Got Away: An Emma Price Mystery (Emma Price Mysteries),1,60199385,HarperCollins Publishers,http://images.amazon.com/images/P/0060199385.01.MZZZZZZZ.jpg,fiction
Letters for Emily,1,743444477,Pocket,http://images.amazon.com/images/P/0743444477.01.MZZZZZZZ.jpg,Novel
Dangerous to Know,0,61092088,HarperTorch,http://images.amazon.com/images/P/0061092088.01.MZZZZZZZ.jpg,Sci-Fi
Oregon and Overland Trail Diary of Mary Louisa Black in 1865 (Images of America),4,936738367,Webb Research Group,http://images.amazon.com/images/P/0936738367.01.MZZZZZZZ.jpg,self-help
Positioning: The Battle for Your Mind,5,446328979,Not Avail,http://images.amazon.com/images/P/0446328979.01.MZZZZZZZ.jpg,Novel
The Jester,0,316602051,"Little, Brown",http://images.amazon.com/images/P/0316602051.01.MZZZZZZZ.jpg,Sci-Fi
Forever in Your Embrace,2,380898187,Avon,http://images.amazon.com/images/P/0380898187.01.MZZZZZZZ.jpg,fantasy
Storm's Fury: And Other Horse Stories,3,1878093312,Boyds Mills Press,http://images.amazon.com/images/P/1878093312.01.MZZZZZZZ.jpg,Novel
Walt Disney's the Perils of Mickey Mouse the Mail Pilot: The Mail Pilot (Golden Look-Look Book),1,030712794X,Random House Childrens Books,http://images.amazon.com/images/P/030712794X.01.MZZZZZZZ.jpg,fiction
Better Homes and Gardens Cross-Stitch Samplers,1,696015129,Meredith Books,http://images.amazon.com/images/P/0696015129.01.MZZZZZZZ.jpg,fantasy
TOLKIEN MAGNETIC POSTCARDS(tm) 12 Full-color Magnetic Postcards to Send or Save,0,762409533,Running Press Book Publishers,http://images.amazon.com/images/P/0762409533.01.MZZZZZZZ.jpg,Novel
SURRENDER THE PINK : SURRENDER THE PINK,5,067166641X,Pocket,http://images.amazon.com/images/P/067166641X.01.MZZZZZZZ.jpg,Mystery
Sybil,1,446359408,Warner Books,http://images.amazon.com/images/P/0446359408.01.MZZZZZZZ.jpg,self-help
Once and Forever,5,380801701,Avon,http://images.amazon.com/images/P/0380801701.01.MZZZZZZZ.jpg,fantasy
Playing for Keeps: Michael Jordan and the World That He Made,4,679415629,Random House Inc,http://images.amazon.com/images/P/0679415629.01.MZZZZZZZ.jpg,Sci-Fi
The Diving Bell and the Butterfly : A Memoir of Life in Death,4,375401156,Knopf,http://images.amazon.com/images/P/0375401156.01.MZZZZZZZ.jpg,Sci-Fi
White Oleander : A Novel,3,316569321,"Little, Brown",http://images.amazon.com/images/P/0316569321.01.MZZZZZZZ.jpg,Sci-Fi
The One Minute Millionaire: The Enlightened Way to Wealth,5,609609491,Harmony,http://images.amazon.com/images/P/0609609491.01.MZZZZZZZ.jpg,self-help
"Bright Lights, Big City: A Novel (Vintage Contemporaries)",1,394726413,Vintage Books USA,http://images.amazon.com/images/P/0394726413.01.MZZZZZZZ.jpg,Sci-Fi
The Cabala,1,881842958,Carroll &amp, Graf Publishers,self-help
Middle of Nowhere,4,786889608,Hyperion,http://images.amazon.com/images/P/0786889608.01.MZZZZZZZ.jpg,self-help
Rich in Love (Contemporary American Fiction),4,140102833,Penguin USA,http://images.amazon.com/images/P/0140102833.01.MZZZZZZZ.jpg,Sci-Fi
Mr. Perfect,1,671034065,Atria,http://images.amazon.com/images/P/0671034065.01.MZZZZZZZ.jpg,self-help
"Welcome to the World, Baby Girl (Ballantine Reader's Circle)",0,044900578X,Ballantine Books,http://images.amazon.com/images/P/044900578X.01.MZZZZZZZ.jpg,self-help
Almanac of Adventure,1,528880632,Rand McNally &amp, Company,Novel
Worlds End,4,067081489X,Penguin Putnam~childrens Hc,http://images.amazon.com/images/P/067081489X.01.MZZZZZZZ.jpg,Mystery
Happenstance: The Wife's Story/the Husband's Story/Two Novels in One About a Marriage in Transition,3,140179518,Penguin Books,http://images.amazon.com/images/P/0140179518.01.MZZZZZZZ.jpg,Mystery
Mary Queen of Scotland and the Isles,1,312950675,St Martins Pr,http://images.amazon.com/images/P/0312950675.01.MZZZZZZZ.jpg,Sci-Fi
The Killer Angels,0,345322282,Ballantine Books,http://images.amazon.com/images/P/0345322282.01.MZZZZZZZ.jpg,Mystery
Hard Men Humble : Vietnam Veterans Who Wouldn't Come Home,4,684842645,Free Press,http://images.amazon.com/images/P/0684842645.01.MZZZZZZZ.jpg,fiction
Bad Company,2,446307386,Warner Books,http://images.amazon.com/images/P/0446307386.01.MZZZZZZZ.jpg,Mystery
Green Mars,0,553572393,Spectra Books,http://images.amazon.com/images/P/0553572393.01.MZZZZZZZ.jpg,fiction
"Nebraska! (Wagons West, # 2)",0,553140701,Bantam,http://images.amazon.com/images/P/0553140701.01.MZZZZZZZ.jpg,fiction
Rafaella,4,553109456,Bantam Books,http://images.amazon.com/images/P/0553109456.01.MZZZZZZZ.jpg,fantasy
The Claddagh Ring (Running Press Miniature Editions (Hardcover)),2,762417080,Running Press Book Publishers,http://images.amazon.com/images/P/0762417080.01.MZZZZZZZ.jpg,self-help
Leaving Earth,4,312255004,Picador USA,http://images.amazon.com/images/P/0312255004.01.MZZZZZZZ.jpg,fantasy
Red Lightning,2,812589122,Tor Books,http://images.amazon.com/images/P/0812589122.01.MZZZZZZZ.jpg,Novel
Cry Wolf,5,055356160X,Bantam,http://images.amazon.com/images/P/055356160X.01.MZZZZZZZ.jpg,Sci-Fi
Spring : An Alphabet Acrostic,4,395822696,Clarion Books,http://images.amazon.com/images/P/0395822696.01.MZZZZZZZ.jpg,Mystery
Black Notice,4,425175405,Berkley Publishing Group,http://images.amazon.com/images/P/0425175405.01.MZZZZZZZ.jpg,Novel
Enough: Lifestyle and Financial Planning for Simpler Living,3,1896836186,Northstone Publishing,http://images.amazon.com/images/P/1896836186.01.MZZZZZZZ.jpg,Novel
Beyond the Burning Lands,3,20423802,Simon Schuster Trade,http://images.amazon.com/images/P/0020423802.01.MZZZZZZZ.jpg,Sci-Fi
Buffy the Vampire Slayer and Philosophy: Fear and Trembling in Sunnydale (Popular Culture and Philosophy Series),1,812695313,Open Court Publishing Company,http://images.amazon.com/images/P/0812695313.01.MZZZZZZZ.jpg,Mystery
Wouldn't Take Nothing for My Journey Now,3,553569074,Bantam Books,http://images.amazon.com/images/P/0553569074.01.MZZZZZZZ.jpg,Novel
A Kitchen Witch's Cookbook,2,1567187072,Llewellyn Publications,http://images.amazon.com/images/P/1567187072.01.MZZZZZZZ.jpg,fantasy
"OUT OF PLACE (Sweet Valley Twins, No 22)",1,553156284,Sweet Valley,http://images.amazon.com/images/P/0553156284.01.MZZZZZZZ.jpg,fantasy
Dracula,4,055321148X,Bantam,http://images.amazon.com/images/P/055321148X.01.MZZZZZZZ.jpg,Mystery
Stone Garden : A Novel,2,60544260,William Morrow,http://images.amazon.com/images/P/0060544260.01.MZZZZZZZ.jpg,fantasy
Head over Heels in the Dales (Dales Series),3,014100522X,Penguin Books,http://images.amazon.com/images/P/014100522X.01.MZZZZZZZ.jpg,Novel
Day of Honor (Star Trek Voyager),4,671019813,Star Trek,http://images.amazon.com/images/P/0671019813.01.MZZZZZZZ.jpg,fantasy
SILVER ON THE TREE,1,689704674,Simon Pulse,http://images.amazon.com/images/P/0689704674.01.MZZZZZZZ.jpg,Novel
And Ladies of the Club,0,425102432,Berkley Publishing Group,http://images.amazon.com/images/P/0425102432.01.MZZZZZZZ.jpg,Sci-Fi
The Best of Crank,1,312867395,Tor Books,http://images.amazon.com/images/P/0312867395.01.MZZZZZZZ.jpg,fiction
The Smoke Jumper,2,440235162,Dell Publishing Company,http://images.amazon.com/images/P/0440235162.01.MZZZZZZZ.jpg,fantasy
Death on the Nile (Hercule Poirot Mysteries (Paperback)),0,425173739,Berkley Publishing Group,http://images.amazon.com/images/P/0425173739.01.MZZZZZZZ.jpg,fantasy
Pigs in Heaven,4,60922532,Perennial,http://images.amazon.com/images/P/0060922532.01.MZZZZZZZ.jpg,fiction
Lucky You,0,679454446,Random House Inc,http://images.amazon.com/images/P/0679454446.01.MZZZZZZZ.jpg,Novel
SHATTERED EYE,5,671477560,Pocket,http://images.amazon.com/images/P/0671477560.01.MZZZZZZZ.jpg,Novel
The Lovely Bones: A Novel,4,316666343,"Little, Brown",http://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg,Mystery
In the Hand of the Goddess (Song of the Lioness (Paperback)),4,679801111,Random House Children's Books,http://images.amazon.com/images/P/0679801111.01.MZZZZZZZ.jpg,Sci-Fi
The Oxford Companion to the English Language (Oxford Companion to English Literature),4,019214183X,Oxford University Press,http://images.amazon.com/images/P/019214183X.01.MZZZZZZZ.jpg,self-help
I Know This Much Is True (Oprah's Book Club),3,60391626,Regan Books,http://images.amazon.com/images/P/0060391626.01.MZZZZZZZ.jpg,self-help
The Lamorna Wink: A Richard Jury Mystery (Richard Jury Mysteries (Paperback)),3,451409361,Onyx Books,http://images.amazon.com/images/P/0451409361.01.MZZZZZZZ.jpg,Sci-Fi
Under Cover of Daylight,3,446352314,Warner Books (Mm),http://images.amazon.com/images/P/0446352314.01.MZZZZZZZ.jpg,Novel
"Krondor the Assassins (The Riftwar Legacy, Book 2)",5,380803232,HarperTorch,http://images.amazon.com/images/P/0380803232.01.MZZZZZZZ.jpg,Sci-Fi
"Kittens in the Kitchen (Animal Ark , No 1)",1,059018749X,Scholastic,http://images.amazon.com/images/P/059018749X.01.MZZZZZZZ.jpg,fantasy
Heartsease,3,207190968,HarperCollins Publishers (Australia) Pty Ltd,http://images.amazon.com/images/P/0207190968.01.MZZZZZZZ.jpg,Mystery
From the Corner of His Eye,0,553582747,Bantam Books,http://images.amazon.com/images/P/0553582747.01.MZZZZZZZ.jpg,fiction
Almost Forever,5,373093276,Silhouette,http://images.amazon.com/images/P/0373093276.01.MZZZZZZZ.jpg,fantasy
Mercy,2,671034022,Pocket,http://images.amazon.com/images/P/0671034022.01.MZZZZZZZ.jpg,fiction
M Is for Malice,2,449223604,Fawcett Books,http://images.amazon.com/images/P/0449223604.01.MZZZZZZZ.jpg,fantasy
Tell No One,1,440236703,Dell Publishing Company,http://images.amazon.com/images/P/0440236703.01.MZZZZZZZ.jpg,Sci-Fi
Hostage,3,345434498,Fawcett Books,http://images.amazon.com/images/P/0345434498.01.MZZZZZZZ.jpg,Mystery
Pay It Forward: A Novel,5,684862719,Simon &amp, Schuster,Mystery
A Lady of Letters (Signet Regency Romance),0,451201701,Signet Book,http://images.amazon.com/images/P/0451201701.01.MZZZZZZZ.jpg,Sci-Fi
Bridget Jones' Diary (Film Tie-in),4,330487612,Pan Macmillan,http://images.amazon.com/images/P/0330487612.01.MZZZZZZZ.jpg,fantasy
Follow the Stars Home,2,553581023,Bantam Books,http://images.amazon.com/images/P/0553581023.01.MZZZZZZZ.jpg,fantasy
The Spaniard's Baby Bargain : Expecting! (Presents),5,373123973,Harlequin,http://images.amazon.com/images/P/0373123973.01.MZZZZZZZ.jpg,fantasy
The SECRET DIARY OF ANNE BOLEYN,1,684849690,Touchstone,http://images.amazon.com/images/P/0684849690.01.MZZZZZZZ.jpg,Sci-Fi
A Kiss of Shadows (Meredith Gentry Novels (Paperback)),5,345423402,Ballantine Books,http://images.amazon.com/images/P/0345423402.01.MZZZZZZZ.jpg,Sci-Fi
Making Peace With Yourself: Transforming Your Weaknesses into Strengths (Formerly Titled : the Achilles Syndrome),1,345322061,Ballantine Books,http://images.amazon.com/images/P/0345322061.01.MZZZZZZZ.jpg,self-help
Watch Me,3,312959974,St. Martin's Press,http://images.amazon.com/images/P/0312959974.01.MZZZZZZZ.jpg,self-help
"In the Time of Dinosaurs (Animorphs Megamorphs, 2)",2,590956159,Apple,http://images.amazon.com/images/P/0590956159.01.MZZZZZZZ.jpg,fantasy
Shoeless Joe,4,345342569,Ballantine Books,http://images.amazon.com/images/P/0345342569.01.MZZZZZZZ.jpg,Mystery
The Last Samurai,2,786887001,Miramax,http://images.amazon.com/images/P/0786887001.01.MZZZZZZZ.jpg,Novel
Das tÃ?Â¤gliche Nichts.,0,3442722632,btb,http://images.amazon.com/images/P/3442722632.01.MZZZZZZZ.jpg,
Oceano Mare,2,8817106100,Biblioteca Universale Rizzoli,http://images.amazon.com/images/P/8817106100.01.MZZZZZZZ.jpg,
Fierce Creatures: A Novel,5,1572971967,Berkley Publishing Group,http://images.amazon.com/images/P/1572971967.01.MZZZZZZZ.jpg,
Night Shift,4,451170113,Signet Book,http://images.amazon.com/images/P/0451170113.01.MZZZZZZZ.jpg,
Whoever Fights Monsters (St. Martin's True Crime Library),3,312950446,St. Martin's Press,http://images.amazon.com/images/P/0312950446.01.MZZZZZZZ.jpg,
A Renaissance Tapestry: The Gonzaga of Mantua,2,60915587,Harpercollins,http://images.amazon.com/images/P/0060915587.01.MZZZZZZZ.jpg,
"Chicken Soup for the Nature Lover's Soul : Inspiring Stories of Joy, Insight and Adventure in the Great Outdoors (Canfield, Jack)",5,757301460,HCI,http://images.amazon.com/images/P/0757301460.01.MZZZZZZZ.jpg,
Winter's Tale (The Pelican Shakespeare),1,140714049,Penguin Books,http://images.amazon.com/images/P/0140714049.01.MZZZZZZZ.jpg,Novel
Taylor's Guide to Gardening Techniques (Taylor's Guide to Gardening),0,395564034,Houghton Mifflin Company,http://images.amazon.com/images/P/0395564034.01.MZZZZZZZ.jpg,fantasy
Blindsighted,1,380820889,HarperTorch,http://images.amazon.com/images/P/0380820889.01.MZZZZZZZ.jpg,fantasy
Broke! : A College Student's Guide to Getting By on Less,3,743252101,Kaplan,http://images.amazon.com/images/P/0743252101.01.MZZZZZZZ.jpg,self-help
Trouble in Paradise (Jesse Stone Novels (Hardcover)),4,399144331,Putnam Pub Group,http://images.amazon.com/images/P/0399144331.01.MZZZZZZZ.jpg,Sci-Fi
Nobody's Baby But Mine,0,380782340,Avon,http://images.amazon.com/images/P/0380782340.01.MZZZZZZZ.jpg,fiction
A Time to Kill,4,440211727,Dell,http://images.amazon.com/images/P/0440211727.01.MZZZZZZZ.jpg,fiction
Per Anhalter durch die Galaxis.,5,3453146972,Heyne,http://images.amazon.com/images/P/3453146972.01.MZZZZZZZ.jpg,self-help
Altered Carbon,5,575073225,Gollancz,http://images.amazon.com/images/P/0575073225.01.MZZZZZZZ.jpg,fantasy
Charlie M,3,345283368,Ballantine Books,http://images.amazon.com/images/P/0345283368.01.MZZZZZZZ.jpg,self-help
The Science of Everyday Life,5,670828327,Penguin USA (Paper),http://images.amazon.com/images/P/0670828327.01.MZZZZZZZ.jpg,fantasy
From Beginning to End: The Rituals of Our Lives,2,804111146,Ivy Books,http://images.amazon.com/images/P/0804111146.01.MZZZZZZZ.jpg,Novel
"Lauf, Jane, lauf. Roman.",1,3442413338,Goldmann,http://images.amazon.com/images/P/3442413338.01.MZZZZZZZ.jpg,Mystery
Canterbury Tales,3,553210130,Bantam Doubleday Dell,http://images.amazon.com/images/P/0553210130.01.MZZZZZZZ.jpg,self-help
Winter and Night (A Bill Smith/Lydia Chin Novel),5,312986688,St. Martin's Minotaur,http://images.amazon.com/images/P/0312986688.01.MZZZZZZZ.jpg,Novel
